Title,Rating,Genres,Cast
Coraline,78.0,"['Animation', 'Family', 'Fantasy']","['Dakota Fanning', 'Teri Hatcher', 'Jennifer Saunders', 'Dawn French', 'Keith David', 'Ian McShane', 'John Hodgman', 'Robert Bailey Jr.', 'Aankha Neal']"
The Out-Laws,62.0,"['Romance', 'Action', 'Comedy']","['Adam Devine', 'Nina Dobrev', 'Pierce Brosnan', 'Ellen Barkin', 'Julie Hagerty', 'Richard Kind', 'Michael Rooker', 'Poorna Jagannathan', 'Lil Rel Howery']"
Encanto,76.0,"['Animation', 'Comedy', 'Family', 'Fantasy']","['Stephanie Beatriz', 'María Cecilia Botero', 'John Leguizamo', 'Diane Guerrero', 'Jessica Darrow', 'Carolina Gaitán', 'Angie Cepeda', 'Ravi Cabot-Conyers', 'Mauro Castillo']"
Black Panther: Wakanda Forever,72.0,"['Action', 'Adventure', 'Science Fiction']","['Letitia Wright', ""Lupita Nyong'o"", 'Danai Gurira', 'Winston Duke', 'Dominique Thorne', 'Tenoch Huerta Mejía', 'Angela Bassett', 'Florence Kasumba', 'Michaela Coel']"
Bite Night,62.0,"['Horror', 'Mystery']","['Maria Lee Metheringham', 'Dani Thompson', 'Rachel Brownstein', 'Marcella Edgecombe-Craig', 'Kian Pollard', 'Will Metheringham']"
Sex and Zen II,59.0,"['Drama', 'Fantasy', 'Romance', 'Comedy']","['Loletta Lee', 'Shu Qi', 'Elvis Tsui', 'Ben Ngai-Cheung Ng', 'Ken Lok', 'Wong Yat-fei', 'Cheung Lau', 'Tsang Yin', 'Lui Tat']"
Scream VI,72.0,"['Horror', 'Thriller', 'Mystery']","['Melissa Barrera', 'Jenna Ortega', 'Jasmin Savoy Brown', 'Mason Gooding', 'Jack Champion', 'Roger L. Jackson', 'Liana Liberato', 'Dermot Mulroney', 'Devyn Nekoda']"
A Good Day to Die Hard,53.0,"['Action', 'Thriller']","['Bruce Willis', 'Jai Courtney', 'Sebastian Koch', 'Mary Elizabeth Winstead', 'Yuliya Snigir', 'Cole Hauser', 'Radivoje Bukvić', 'Amaury Nolasco', 'Sergey Kolesnikov']"
Alien Invasion,37.0,"['Science Fiction', 'Horror']","['Amber Doig-Thorne', 'Sarah T. Cohen', 'May Kelly', 'Richard Kovacs', 'Matthew Baunsgard', 'Bao Tieu', 'Nikolai Leon', 'Leah Glater', 'Benjamin Colbourne']"
Zoey 102,71.0,"['Romance', 'Comedy']","['Jamie Lynn Spears', 'Sean Flynn', 'Erin Sanders', 'Christopher Massey', 'Matthew Underwood', 'Abby Wilde', 'Dean Geyer', 'Owen Thiele', 'Jack Salvatore, Jr.']"
Insidious: The Last Key,63.0,"['Horror', 'Mystery', 'Thriller']","['Lin Shaye', 'Leigh Whannell', 'Angus Sampson', 'Kirk Acevedo', 'Caitlin Gerard', 'Spencer Locke', 'Josh Stewart', 'Tessa Ferrer', 'Aleque Reid']"
Mortal Kombat Legends: Battle of the Realms,77.0,"['Animation', 'Action', 'Fantasy']","['Jordan Rodrigues', 'Jennifer Carpenter', 'Joel McHale', 'Patrick Seitz', 'Dave B. Mitchell', 'Bayardo De Murguia', 'Fred Tatasciore', 'Matthew Mercer', ""Emily O'Brien""]"
Confidential Informant,65.0,"['Mystery', 'Thriller', 'Action']","['Dominic Purcell', 'Kate Bosworth', 'Mel Gibson', 'Arielle Raycene', 'Nick Stahl', 'Erik Valdez', 'Jon Lindstrom', 'Camila Savia']"
Indiana Jones and the Dial of Destiny,66.0,"['Adventure', 'Action', 'Fantasy']","['Harrison Ford', 'Phoebe Waller-Bridge', 'Mads Mikkelsen', 'Boyd Holbrook', 'Olivier Richters', 'Ethann Isidore', 'Toby Jones', 'Antonio Banderas', 'Karen Allen']"
M3GAN,72.0,"['Science Fiction', 'Horror']","['Allison Williams', 'Violet McGraw', 'Ronny Chieng', 'Amie Donald', 'Jenna Davis', 'Brian Jordan Alvarez', 'Jen Van Epps', 'Stephane Garneau-Monten', 'Lori Dungey']"
Remember,74.0,"['Thriller', 'Action', 'Drama']","['Lee Sung-min', 'Nam Joo-hyuk', 'Park Geun-hyung', 'Jeong Man-sik', 'Yoon Je-moon', 'Song Young-chang', 'Moon Chang-gil', 'Choi Min-chul', 'Nam Moon-chul']"
The Last Voyage of the Demeter,75.0,"['Horror', 'Fantasy']","['Corey Hawkins', 'Aisling Franciosi', 'Liam Cunningham', 'David Dastmalchian', 'Chris Walley', 'Jon Jon Briones', 'Stefan Kapičić', 'Martin Furulund', 'Nikolai Nikolaeff']"
Ghosted,71.0,"['Action', 'Comedy', 'Romance']","['Chris Evans', 'Ana de Armas', 'Adrien Brody', 'Mike Moh', 'Amy Sedaris', 'Tate Donovan', 'Tim Blake Nelson', 'Marwan Kenzari', 'Anna Deavere Smith']"
Quicksand,0,"['Thriller', 'Horror']","['Carolina Gaitán', 'Allan Hawco', 'Sebastián Eslava', 'Andrés Castañeda', 'Allison Castrillón', 'Juan Manuel Combariza', 'Juan Camilo Pérez']"
Black Adam,70,"['Action', 'Adventure', 'Science Fiction']","['Dwayne Johnson', 'Aldis Hodge', 'Noah Centineo', 'Sarah Shahi', 'Quintessa Swindell', 'Marwan Kenzari', 'Mo Amer', 'Bodhi Sabongui', 'Pierce Brosnan']"
